,Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
1432,Created,User_3,A_Create Application,Application,Application_493034835,complete,2016-01-02 12:24:39.241000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1433,statechange,User_3,A_Concept,Application,ApplState_1913249392,complete,2016-01-02 12:24:39.245000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1434,Created,User_3,W_Complete application,Workflow,Workitem_819502667,schedule,2016-01-02 12:24:39.250000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1435,Obtained,User_3,W_Complete application,Workflow,Workitem_807173433,start,2016-01-02 12:24:39.253000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1436,statechange,User_3,A_Accepted,Application,ApplState_1597124964,complete,2016-01-02 12:29:45.915000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1437,Created,User_3,O_Create Offer,Offer,Offer_1236377933,complete,2016-01-02 12:31:00.150000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,1500.0,72.0,False,150.0,True,0.0,9000.0,
1438,statechange,User_3,O_Created,Offer,OfferState_1545161685,complete,2016-01-02 12:31:01.388000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,Offer_1236377933
1439,statechange,User_3,O_Sent (mail and online),Offer,OfferState_1890889062,complete,2016-01-02 12:31:11.640000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,Offer_1236377933
1440,Deleted,User_3,W_Complete application,Workflow,Workitem_1190436104,complete,2016-01-02 12:31:11.655000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1441,Created,User_3,W_Call after offers,Workflow,Workitem_1521625809,schedule,2016-01-02 12:31:11.662000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1442,Obtained,User_3,W_Call after offers,Workflow,Workitem_1770591784,start,2016-01-02 12:31:11.665000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1443,statechange,User_3,A_Complete,Application,ApplState_1633807146,complete,2016-01-02 12:31:11.667000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1444,Released,User_3,W_Call after offers,Workflow,Workitem_2022922365,suspend,2016-01-02 12:32:38.936000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1445,Obtained,User_11,W_Call after offers,Workflow,Workitem_1927775329,resume,2016-01-06 09:28:26.298000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1446,Released,User_11,W_Call after offers,Workflow,Workitem_1627231525,suspend,2016-01-06 09:28:56.754000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1447,Deleted,User_112,W_Call after offers,Workflow,Workitem_666607882,ate_abort,2016-01-11 08:44:06.364000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1448,Created,User_112,W_Validate application,Workflow,Workitem_1948002622,schedule,2016-01-11 08:44:06.374000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1449,Obtained,User_112,W_Validate application,Workflow,Workitem_1972055666,start,2016-01-11 08:44:06.379000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1450,statechange,User_112,A_Validating,Application,ApplState_492986510,complete,2016-01-11 08:44:07.206000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1451,statechange,User_112,O_Returned,Offer,OfferState_292441853,complete,2016-01-11 08:44:39.240000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,Offer_1236377933
1452,Released,User_112,W_Validate application,Workflow,Workitem_1283781048,suspend,2016-01-11 08:48:17.482000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1453,Obtained,User_87,W_Validate application,Workflow,Workitem_742511566,resume,2016-01-12 08:13:50.864000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
