,unitId,id,unitEventTerm,state,unitEventGrade,eventActive,eventDate,comment,personId,universityId,enrollmentId,termsBefore_x,degreeId,type,degree,addendum,subjectId,name,fsoKey,college,enrollTerm,exmatTerm,exmatReason,termsBefore_y,oldUnitId,instanceLevel,instanceName,unitType,unitName,unitDate,rewardType,rewardAmount,grade,active,course_name,course_number,course_name_mode,unitDateSemester,relative_semester,study_duration,obtainedCredits,activity_name
190,2502,1375,2013W,Bestanden,3.3,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Diskrete Strukturen', 'Diskrete Strukturen', '1115472', 'Pflichtfach']",2014-02-21T00:00:00,CP,6.0,3.3,True,Diskrete Strukturen,1115472,Diskrete Strukturen,2013W,1,13,165.0,1115472
191,2505,1376,2013W,Bestanden,4.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Analysis für Informatiker', 'Analysis für Informatiker', '1114971', 'Pflichtfach']",2014-03-19T00:00:00,CP,8.0,4.0,True,Analysis für Informatiker,1114971,Analysis fuer Informatiker,2013W,1,13,165.0,1114971
192,2508,1377,2013W,Bestanden,4.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Einführung in die Technische Informatik', 'Einführung in die Technische Informatik', '1214958', 'Pflichtfach']",2014-03-31T00:00:00,CP,6.0,4.0,True,Einführung in die Technische Informatik,1214958,Technische Informatik,2013W,1,13,165.0,1214958
193,2511,1378,2014S,Bestanden,3.7,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Einführung in die angewandte Stochastik', 'Einführung in die angewandte Stochastik', '1112712', 'Pflichtfach']",2014-07-22T00:00:00,CP,6.0,3.7,True,Einführung in die angewandte Stochastik,1112712,Einfuehrung in die angewandte Stochastik,2014S,2,13,165.0,1112712
194,2515,1379,2014W,Bestanden,3.7,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Einführung in die Betriebswirtschaftslehre', 'Einführung in die Betriebswirtschaftslehre', '8015059', 'Wahlpflichtfach']",2015-02-11T00:00:00,CP,6.0,3.7,True,Einführung in die Betriebswirtschaftslehre,8015059,Einfuehrung in die Betriebswirtschaftslehre,2014W,3,13,165.0,placeholder
195,2518,1380,2014W,Bestanden,4.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Einführung in die Softwaretechnik', 'Einführung in die Softwaretechnik', '1211965', 'Pflichtfach']",2015-03-06T00:00:00,CP,6.0,4.0,True,Einführung in die Softwaretechnik,1211965,Einfuehrung in die Softwaretechnik,2014W,3,13,165.0,1211965
196,2521,1381,2014W,Bestanden,3.3,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Programmierung', 'Programmierung', '1214957', 'Pflichtfach']",2015-03-25T00:00:00,CP,8.0,3.3,True,Programmierung,1214957,Programmierung,2014W,3,13,165.0,1214957
197,2524,1382,2015S,Bestanden,3.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Betriebssysteme und Systemsoftware', 'Betriebssysteme und Systemsoftware', '1214960', 'Pflichtfach']",2015-08-17T00:00:00,CP,6.0,3.0,True,Betriebssysteme und Systemsoftware,1214960,Betriebssysteme und Systemsoftware,2015S,4,13,165.0,1214960
198,2527,1383,2015S,Bestanden,3.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Datenstrukturen und Algorithmen', 'Datenstrukturen und Algorithmen', '1211971', 'Pflichtfach']",2015-09-14T00:00:00,CP,8.0,3.0,True,Datenstrukturen und Algorithmen,1211971,Datenstrukturen und Algorithmen,2015S,4,13,165.0,1211971
199,2530,1384,2015W,Bestanden,1.0,True,2018-09-18,,RWTH-186167,0,12,,18,1,Bachelor of Science,,18,Informatik,79,,2013W,2019W,17,0.0,,,Prüfungstermin,,"['Proseminar (Einführung in das wissenschaftliche Arbeiten)', 'Proseminar (Einführung in das wissenschaftliche Arbeiten)', '1211968', 'Pflichtfach']",2016-01-19T00:00:00,CP,3.0,1.0,True,Proseminar (Einführung in das wissenschaftliche Arbeiten),1211968,Einfuehrung in das wissenschaftliche Arbeiten (Proseminar),2015W,5,13,165.0,1211968
